timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783738.195606,0000000000000003:2,0.537756,0.525362,0.534038
1776783738.328489,0000000000000001:1,0.013224,0.000751,0.009482
1776783738.328545,0000000000000001:2,0.636183,-0.356044,0.445328
1776783738.328565,0000000000000001:3,0.547345,0.535004,0.543643
1776783739.159241,0000000000000002:1,0.008938,-0.000829,0.006256
1776783739.159301,0000000000000002:2,0.000294,-0.637703,0.000206
1776783739.168579,0000000000000004:1,0.986524,0.133744,0.730690
1776783739.168613,0000000000000004:2,0.008946,-0.000677,0.006262
1776783739.168631,0000000000000004:3,0.000147,0.000055,0.000119
1776783739.202313,0000000000000003:1,0.000150,0.000080,0.000129
1776783739.202348,0000000000000003:2,0.902279,0.364524,0.740953
1776783739.336955,0000000000000001:1,0.012137,-0.001087,0.008496
1776783739.337005,0000000000000001:2,0.000293,-0.635890,0.000205
1776783739.337024,0000000000000001:3,0.901436,0.354091,0.737233
1776783740.162951,0000000000000002:1,0.009701,0.000764,0.007020
1776783740.163013,0000000000000002:2,0.594347,0.594053,0.594259
1776783740.168319,0000000000000004:1,0.789703,-0.196821,0.552792
1776783740.168350,0000000000000004:2,0.009736,0.000790,0.007053
1776783740.168367,0000000000000004:3,0.000175,0.000028,0.000131
1776783740.204205,0000000000000003:1,0.000191,0.000041,0.000146
1776783740.204236,0000000000000003:2,0.390779,-0.511500,0.273546
1776783740.339745,0000000000000001:1,0.013072,0.000935,0.009431
1776783740.339793,0000000000000001:2,0.595853,0.595560,0.595765
1776783740.339813,0000000000000001:3,0.381640,-0.519796,0.267148
1776783741.171959,0000000000000002:1,0.009114,-0.000587,0.006380
1776783741.172012,0000000000000002:2,0.640729,0.046381,0.462424
1776783741.178465,0000000000000004:1,0.856753,0.067050,0.619842
1776783741.178497,0000000000000004:2,0.009137,-0.000599,0.006396
1776783741.178515,0000000000000004:3,0.000183,0.000008,0.000131
1776783741.209650,0000000000000003:1,0.000170,-0.000021,0.000119
1776783741.209685,0000000000000003:2,0.524091,0.133311,0.406857
1776783741.343678,0000000000000001:1,0.012557,-0.000515,0.008790
1776783741.343725,0000000000000001:2,0.643006,0.047153,0.464250
1776783741.343744,0000000000000001:3,0.533177,0.151537,0.418685
1776783742.223484,0000000000000002:1,0.009139,0.000024,0.006404
1776783742.223546,0000000000000002:2,0.000511,-0.640217,0.000358
1776783742.225261,0000000000000004:1,0.988293,0.131540,0.731267
1776783742.236288,0000000000000004:2,0.009056,-0.000081,0.006339
1776783742.236347,0000000000000004:3,0.000289,0.000106,0.000234
1776783742.275814,0000000000000003:1,0.000280,0.000110,0.000229
1776783742.275862,0000000000000003:2,0.892630,0.368539,0.735403
1776783742.411641,0000000000000001:1,0.012274,-0.000283,0.008592
1776783742.411690,0000000000000001:2,0.000529,-0.642477,0.000370
1776783742.411709,0000000000000001:3,0.891616,0.358439,0.731663
1776783743.224441,0000000000000002:1,0.009644,0.000505,0.006902
1776783743.224494,0000000000000002:2,0.000712,0.000200,0.000558
1776783743.234341,0000000000000004:1,0.901240,-0.087053,0.630868
1776783743.234376,0000000000000004:2,0.009678,0.000622,0.006962
1776783743.234394,0000000000000004:3,0.000370,0.000081,0.000284
1776783743.271705,0000000000000003:1,0.000358,0.000077,0.000273
1776783743.271749,0000000000000003:2,0.912107,0.019477,0.644318
1776783743.403818,0000000000000001:1,0.013487,0.001213,0.009805
1776783743.403871,0000000000000001:2,0.000691,0.000162,0.000532
1776783743.403891,0000000000000001:3,0.914900,0.023284,0.647415
1776783744.234237,0000000000000002:1,0.009050,-0.000594,0.006335
1776783744.234292,0000000000000002:2,0.469507,0.468796,0.469294
1776783744.239755,0000000000000004:1,0.814777,-0.086463,0.570344
1776783744.239786,0000000000000004:2,0.009087,-0.000592,0.006361
1776783744.239805,0000000000000004:3,0.000331,-0.000039,0.000232
1776783744.276194,0000000000000003:1,0.000355,-0.000003,0.000248
1776783744.276229,0000000000000003:2,0.499730,-0.412377,0.349811
1776783744.413873,0000000000000001:1,0.012446,-0.001042,0.008712
1776783744.413920,0000000000000001:2,0.470591,0.469900,0.470383
1776783744.413939,0000000000000001:3,0.488941,-0.425959,0.342259
1776783745.237151,0000000000000002:1,0.009860,0.000809,0.007145
1776783745.237208,0000000000000002:2,1.000000,0.530493,0.859148
1776783745.242411,0000000000000004:1,0.682286,-0.132491,0.477600
1776783745.242450,0000000000000004:2,0.009849,0.000762,0.007123
1776783745.242471,0000000000000004:3,0.000198,-0.000133,0.000138
1776783745.278476,0000000000000003:1,0.000204,-0.000150,0.000143
1776783745.278522,0000000000000003:2,0.013110,-0.486620,0.009177
1776783745.439694,0000000000000001:1,0.013089,0.000643,0.009355
1776783745.439756,0000000000000001:2,0.980806,0.510216,0.839629
1776783745.439777,0000000000000001:3,0.012748,-0.476193,0.008923
