timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783528.394297,0000000000000004:1,0.013258,0.000720,0.009496
1776783528.394346,0000000000000004:2,0.009344,0.000425,0.006668
1776783528.394365,0000000000000004:3,0.000636,0.000128,0.000484
1776783528.394768,0000000000000002:1,0.009335,0.000399,0.006654
1776783528.394794,0000000000000002:2,0.001231,0.000212,0.000925
1776783528.416287,0000000000000003:1,0.000622,0.000132,0.000475
1776783528.416318,0000000000000003:2,0.012364,0.000483,0.008800
1776783528.553956,0000000000000001:1,0.012452,-0.000119,0.008716
1776783528.554006,0000000000000001:2,0.001157,0.000212,0.000874
1776783528.554025,0000000000000001:3,0.011710,-0.000258,0.008197
1776783529.399293,0000000000000002:1,0.008674,-0.000661,0.006072
1776783529.399341,0000000000000002:2,0.001358,0.000127,0.000989
1776783529.402932,0000000000000004:1,0.012428,-0.000830,0.008700
1776783529.402961,0000000000000004:2,0.008639,-0.000705,0.006047
1776783529.402979,0000000000000004:3,0.000690,0.000053,0.000499
1776783529.419845,0000000000000003:1,0.000693,0.000071,0.000506
1776783529.419876,0000000000000003:2,0.011585,-0.000780,0.008109
1776783529.500049,0000000000000001:1,0.013146,0.000694,0.009410
1776783529.500103,0000000000000001:2,0.001492,0.000334,0.001144
1776783529.500122,0000000000000001:3,0.012303,0.000592,0.008789
1776783530.402599,0000000000000004:1,0.785705,0.773277,0.781976
1776783530.402649,0000000000000004:2,0.008632,-0.000007,0.006042
1776783530.402668,0000000000000004:3,0.000793,0.000104,0.000586
1776783530.402900,0000000000000002:1,0.008575,-0.000099,0.006002
1776783530.402922,0000000000000002:2,0.001620,0.000262,0.001213
1776783530.424608,0000000000000003:1,0.000796,0.000103,0.000588
1776783530.424640,0000000000000003:2,0.785418,0.773833,0.781942
1776783530.503327,0000000000000001:1,0.012571,-0.000575,0.008800
1776783530.503370,0000000000000001:2,0.001581,0.000089,0.001133
1776783530.503389,0000000000000001:3,0.794343,0.782041,0.790653
1776783531.406265,0000000000000002:1,0.009048,0.000474,0.006476
1776783531.406319,0000000000000002:2,0.001835,0.000215,0.001349
1776783531.412169,0000000000000004:1,0.831964,0.046259,0.596253
1776783531.412203,0000000000000004:2,0.008973,0.000341,0.006383
1776783531.412222,0000000000000004:3,0.000949,0.000155,0.000711
1776783531.433060,0000000000000003:1,0.000916,0.000120,0.000677
1776783531.433092,0000000000000003:2,0.831525,0.046108,0.595900
1776783531.507576,0000000000000001:1,0.013187,0.000616,0.009416
1776783531.507612,0000000000000001:2,0.001854,0.000273,0.001379
1776783531.507631,0000000000000001:3,0.835228,0.040884,0.596925
1776783532.412853,0000000000000002:1,0.008415,-0.000633,0.005891
1776783532.412902,0000000000000002:2,0.001969,0.000134,0.001419
1776783532.420846,0000000000000004:1,0.833950,0.001986,0.584361
1776783532.420877,0000000000000004:2,0.008424,-0.000548,0.005897
1776783532.420895,0000000000000004:3,0.000973,0.000024,0.000688
1776783532.442391,0000000000000003:1,0.000969,0.000052,0.000694
1776783532.442423,0000000000000003:2,0.831123,-0.000402,0.581786
1776783532.515836,0000000000000001:1,0.012566,-0.000621,0.008796
1776783532.515895,0000000000000001:2,0.001946,0.000093,0.001390
1776783532.515914,0000000000000001:3,0.832148,-0.003080,0.582504
1776783533.417741,0000000000000002:1,0.008801,0.000386,0.006277
1776783533.417791,0000000000000002:2,0.002193,0.000224,0.001603
1776783533.426905,0000000000000004:1,0.053701,-0.780249,0.037591
1776783533.426934,0000000000000004:2,0.008784,0.000360,0.006257
1776783533.426953,0000000000000004:3,0.001112,0.000139,0.000820
1776783533.448262,0000000000000003:1,0.001106,0.000137,0.000815
1776783533.448292,0000000000000003:2,0.048692,-0.782432,0.034084
1776783533.520937,0000000000000001:1,0.013176,0.000611,0.009407
1776783533.520970,0000000000000001:2,0.002213,0.000267,0.001629
